level,code,name,parent_code,parent_level
municipality,0906,Cabricán,09,department
municipality,0907,Cajolá,09,department
municipality,0908,San Miguel Sigüilá,09,department
municipality,0909,Ostuncalco,09,department
municipality,0910,San Mateo,09,department
municipality,0911,Concepción Chiquirichapa,09,department
municipality,0912,San Martín Sacatepéquez,09,department
municipality,0913,Almolonga,09,department
municipality,0914,Cantel,09,department
municipality,0915,Huitán,09,department
municipality,0916,Zunil,09,department
municipality,0917,Colomba Costa Cuca,09,department
municipality,0918,San Francisco La Unión,09,department
municipality,0919,El Palmar,09,department
municipality,0920,Coatepeque,09,department
municipality,0921,Génova,09,department
municipality,0922,Flores Costa Cuca,09,department
municipality,0923,La Esperanza,09,department
municipality,0924,Palestina de Los Altos,09,department
municipality,1001,Mazatenango,10,department
municipality,1002,Cuyotenango,10,department
municipality,1003,San Francisco Zapotitlán,10,department
municipality,1004,San Bernardino,10,department
municipality,1005,San José El Ídolo,10,department
municipality,1006,Santo Domingo Suchitepéquez,10,department
municipality,1007,San Lorenzo,10,department
municipality,1008,Samayac,10,department
municipality,1009,San Pablo Jocopilas,10,department
municipality,1010,San Antonio Suchitepéquez,10,department
municipality,1011,San Miguel Panán,10,department
municipality,1012,San Gabriel,10,department
municipality,1013,Chicacao,10,department
municipality,1014,Patulul,10,department
municipality,1015,Santa Bárbara,10,department
municipality,1016,San Juan Bautista,10,department
municipality,1017,Santo Tomás La Unión,10,department
municipality,1018,Zunilito,10,department
municipality,1019,Pueblo Nuevo,10,department
municipality,1020,Río Bravo,10,department
municipality,1021,San José La Máquina,10,department
municipality,1101,Retalhuleu,11,department
municipality,1102,San Sebastián,11,department
municipality,1103,Santa Cruz Muluá,11,department
municipality,1104,San Martín Zapotitlán,11,department
municipality,1105,San Felipe,11,department
municipality,1106,San Andrés Villa Seca,11,department
municipality,1107,Champerico,11,department
municipality,1108,Nuevo San Carlos,11,department
municipality,1109,El Asintal,11,department
municipality,1201,San Marcos,12,department
municipality,1202,San Pedro Sacatepéquez (SM),12,department
municipality,1203,San Antonio Sacatepéquez,12,department
municipality,1204,Comitancillo,12,department
municipality,1205,San Miguel Ixtahuacán,12,department
municipality,1206,Concepción Tutuapa,12,department
municipality,1207,Tacaná,12,department
municipality,1208,Sibinal,12,department
municipality,1209,Tajumulco,12,department
municipality,1210,Tejutla,12,department
municipality,1211,San Rafael Pie de la Cuesta,12,department
municipality,1212,Nuevo Progreso,12,department
municipality,1213,El Tumbador,12,department
municipality,1214,El Rodeo,12,department
municipality,1215,Malacatán,12,department
municipality,1216,Catarina,12,department
municipality,1217,Ayutla,12,department
municipality,1218,Ocós,12,department
municipality,1219,San Pablo,12,department
municipality,1220,El Quetzal,12,department
municipality,1221,La Reforma,12,department
municipality,1222,Pajapita,12,department
municipality,1223,Ixchiguán,12,department
municipality,1224,San José Ojetenam,12,department
municipality,1225,San Cristóbal Cucho,12,department
municipality,1226,Sipacapa,12,department
municipality,1227,Esquipulas Palo Gordo,12,department
municipality,1228,Río Blanco,12,department
municipality,1229,San Lorenzo (SM),12,department
municipality,1230,La Blanca,12,department
municipality,1301,Huehuetenango,13,department
municipality,1302,Chiantla,13,department
municipality,1303,Malacatancito,13,department
municipality,1304,Cuilco,13,department
municipality,1305,Nentón,13,department
municipality,1306,San Pedro Necta,13,department
municipality,1307,Jacaltenango,13,department
municipality,1308,Soloma,13,department
municipality,1309,Ixtahuacán,13,department
municipality,1310,Santa Bárbara (HU),13,department
municipality,1311,La Libertad (HU),13,department
municipality,1312,La Democracia (HU),13,department
municipality,1313,San Miguel Acatán,13,department
municipality,1314,San Rafael La Independencia,13,department
municipality,1315,Todos Santos Cuchumatán,13,department
municipality,1316,San Juan Atitán,13,department
municipality,1317,Santa Eulalia,13,department
municipality,1318,San Mateo Ixtatán,13,department
municipality,1319,Colotenango,13,department
municipality,1320,San Sebastián Huehuetenango,13,department
